Rank,Release Group,Worldwide,Domestic,%,Foreign,%
114,Bodies Bodies Bodies,"$13,903,816","$11,446,602",82.3%,"$2,457,214",17.7%
115,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
116,Land of Legends,"$13,732,020",-,-,"$13,732,020",100%
117,The Chosen Season 3: Episode 1 & 2,"$13,662,300","$13,603,064",99.6%,"$59,236",0.4%
118,Glass Onion: A Knives Out Mystery,"$13,280,000","$13,280,000",100%,-,-
119,Valimai,"$13,276,393",-,-,"$13,276,393",100%
120,Simone: Woman of the Century,"$13,080,967",-,-,"$13,080,967",100%
121,Easter Sunday,"$13,071,438","$13,013,690",99.6%,"$57,748",0.4%
122,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
123,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
124,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%
125,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
126,Moonage Daydream,"$12,043,470","$4,218,925",35%,"$7,824,545",65%
127,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
128,Bergen,"$11,325,405",-,-,"$11,325,405",100%
129,Terrifier 2,"$11,318,824","$10,636,305",94%,"$682,519",6%
130,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
131,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
132,Warriors of Future,"$10,360,002",-,-,"$10,360,002",100%
133,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
134,Chickenhare and the Hamster of Darkness,"$10,247,825",-,-,"$10,247,825",100%
135,Rise,"$10,179,767",-,-,"$10,179,767",100%
136,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
137,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%
138,Table for Six,"$9,884,524",-,-,"$9,884,524",100%
139,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%
140,Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
141,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
142,Devotion,"$9,445,755","$9,434,358",99.9%,"$11,397",0.1%
143,Pearl,"$9,423,445","$9,423,445",100%,-,-
144,Till,"$8,758,984","$8,758,984",100%,-,-
145,"Good Luck to You, Leo Grande","$8,634,304",-,-,"$8,634,304",100%
146,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
147,Rheingold,"$8,435,761",-,-,"$8,435,761",100%
148,Don,"$8,287,406",-,-,"$8,287,406",100%
149,Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%
150,Karada Sagashi,"$8,166,175",-,-,"$8,166,175",100%
151,Life Is Beautiful,"$8,113,566",-,-,"$8,113,566",100%
152,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
153,[REC] Terror sin pausa,"$8,041,419",-,-,"$8,041,419",100%
154,Ducobu Président !,"$7,858,171",-,-,"$7,858,171",100%
